headline,date,doc_type,material_type,section,keywords
Bush Defends Tax Cuts and Announces Jobs Post,2003-09-01,article,News,,"['United States Economy', 'Layoffs and Job Reductions']"
"Paid Notice: Deaths   BERK, MURRAY",2003-09-01,article,Paid Death Notice,,[]
Federer Too Good For Blake,2003-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']"
Corrections,2003-09-01,article,Correction,,"['Boxing', 'Correction Stories']"
"The Arms Dispute That Has Hurt Blair's Credibility Has Wounded the BBC, Too",2003-09-01,article,News,,"['Biological and Chemical Warfare', 'United States International Relations', 'Radio', 'Terrorism', 'News and News Media', 'UNITED STATES ARMAMENT AND DEFENSE']"
More Companies Are Routing Calls via Internet,2003-09-01,article,News,,"['COMPUTER SOFTWARE', 'Prices (Fares, Fees and Rates)', 'Telephones and Telecommunications', 'Computers and the Internet']"
Aldebaran Helps Frankel End a Slump,2003-09-01,article,News,,"['Horse Racing', 'FOREGO HANDICAP']"
'End the Occupation',2003-09-01,article,News,,[]
ARTS BRIEFING,2003-09-01,article,News,,"['MOTION PICTURES', 'Conventions and Conferences', 'Theater']"
Congress Tries Again,2003-09-01,article,Editorial,,"['Editorials', 'Law and Legislation']"
"E-Commerce Report; Web sites are becoming more upfront about revealing taxes, fees and shipping charges.",2003-09-01,article,News,,"['Automobiles', 'Renting and Leasing', 'Prices (Fares, Fees and Rates)', 'Computers and the Internet']"
Labor Day and Beyond,2003-09-01,article,Editorial,,"['Editorials', 'Labor Day', 'Seasons and Months']"
Familiar Concertos Interpreted Anew by an Unlikely Duo,2003-09-01,article,News,,"['RECORDINGS (AUDIO)', 'Music']"
MENTAL CARE POOR FOR SOME CHILDREN IN STATE CUSTODY,2003-09-01,article,News,,"['Foster Care', 'Children and Youth', 'Mental Health and Disorders', 'Crime and Criminals']"
Libya to Inflate Amount Paid in '89 Bombing,2003-09-01,article,News,,"['AIRLINES AND AIRPLANES', 'Bombs and Explosives', 'Embargoes and Economic Sanctions', 'Economic Conditions and Trends', 'Terrorism']"
Critic's Notebook; Telluride Marks Its 30th Year With a Passing of Torches,2003-09-01,article,News,,"['MOTION PICTURES', 'Telluride Film Festival']"
"Paid Notice: Memorials   SHEPPS, HOWARD ZVI",2003-09-01,article,Paid Death Notice,,[]
Labor Day,2003-09-01,article,Schedule,,[]
Make Air Bags a Choice,2003-09-01,article,Letter,,"['Automobiles', 'Automobile Safety Features and Defects', 'AIR BAGS']"
Corrections,2003-09-01,article,Correction,,"['Television', 'Correction Stories']"
A New Leader for Powerful German Union,2003-09-01,article,News,,[]
"Paid Notice: Deaths   ABPLANALP, ROBERT H.",2003-09-01,article,Paid Death Notice,,[]
"Paid Notice: Deaths   KRUGMAN, ELLA",2003-09-01,article,Paid Death Notice,,[]
Iraqi Shiites Flex Muscle Even as They Mourn,2003-09-01,article,News,,"['CABINETS AND SUB-CABINETS', 'United States International Relations', 'Bombs and Explosives', 'Politics and Government', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']"
"Big Steps, Baby Steps And High-Stepping",2003-09-01,article,News,,"['Records and Achievements', 'Women', 'Football']"
"As Championships End, Drug Imbroglio Goes On",2003-09-01,article,News,,"['MODAFINIL (DRUG)', 'Narcolepsy', 'Track and Field', 'Drug Abuse and Traffic']"
Kakata Journal; An Army of Educators Saves a Liberian College,2003-09-01,article,News,,"['Colleges and Universities', 'Politics and Government', 'Civil War and Guerrilla Warfare']"
Morgan Stanley and Goldman Are Said to Bid on Canary Wharf,2003-09-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'Office Buildings and Commercial Properties']"
Anxiety Rises in a Muslim Enclave Near Bombay,2003-09-01,article,News,,"['Bombs and Explosives', 'Islam', 'Terrorism']"
Taliban Raids Widen in Parts Of Afghanistan,2003-09-01,article,News,,"['United States International Relations', 'Politics and Government', 'Economic Conditions and Trends', 'Foreign Aid', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']"
INSIDE,2003-09-01,article,Summary,,[]
Corrections,2003-09-01,article,Correction,,"['Governors (US)', 'Correction Stories', 'Elections']"
Vivendi Said To Now Favor An NBC Deal,2003-09-01,article,News,,"['Mergers, Acquisitions and Divestitures', 'Boards of Directors']"
"Long-Lived Floating Hospital Is Still Going, Just Not Floating",2003-09-01,article,News,,"['FLOATING HOSPITAL (NYC)', 'Medicine and Health']"
University Woes,2003-09-01,article,Letter,,['Colleges and Universities']
"GQ, Under a New Editor, Is Not Quite So Coiffed",2003-09-01,article,News,,"['Age, Chronological', 'COMPANY AND ORGANIZATION PROFILES', 'Finances', 'Magazines']"
China to Trim Military in Bid to Match Moves by U.S. Army,2003-09-01,article,News,,"['ARMAMENT, DEFENSE AND MILITARY FORCES']"
"Paid Notice: Deaths   LONDON, BURTON LAWRENCE",2003-09-01,article,Paid Death Notice,,[]
U.S. Ends Qualifying With Dazzling Display,2003-09-01,article,News,,"['Olympic Games', 'SUMMER GAMES (OLYMPICS)', 'Basketball', 'Olympic Games (2004)']"
Retailers Make Sure Freshmen Live in Style,2003-09-01,article,News,,"['Dormitories', 'Colleges and Universities', 'Gifts', 'RETAIL STORES AND TRADE']"
"A Declining City's Past, a Dislocated Writer's Memory",2003-09-01,article,Series,,"['Economic Conditions and Trends', 'Surveys and Series', 'Biographical Information']"
Pennington Says He Will Miss 9 Games,2003-09-01,article,News,,['Football']
Some Solid First Moves and Some Pratfalls,2003-09-01,article,News,,"['Ethics', 'Football']"
Teenager Dies in Shooting on Queens Street,2003-09-01,article,News,,"['Murders and Attempted Murders', 'Children and Youth']"
"Paid Notice: Deaths   SOGG, BARBARA (NEE LAVIGNE)",2003-09-01,article,Paid Death Notice,,[]
"Paid Notice: Deaths   HUROWITZ, SUSAN MARJORY",2003-09-01,article,Paid Death Notice,,[]
An Ode to Loved Labors Lost,2003-09-01,article,Op-Ed,,"['LABOR', 'Temporary Employment']"
"Paid Notice: Deaths   O'LEARY, JOHN M.",2003-09-01,article,Paid Death Notice,,[]
BUSINESS DIGEST,2003-09-01,article,Summary,,[]
California Governor Attempts Belated Personality Makeover,2003-09-01,article,News,,"['RECALL (ELECTIONS)', 'Governors (US)', 'Elections']"
TRANSACTIONS,2003-09-01,article,List,,[]
Fire Strikes New Jersey Pier,2003-09-01,article,News,,['FIRES AND FIREMEN']
The Blue-Collar Laborers of the Harbor Get to Play,2003-09-01,article,News,,"['Ships and Shipping', 'Festivals', 'Tugboats and Towboats']"
"Looks Like a Recovery, Feels Like a Recession",2003-09-01,article,News,,"['LABOR', 'PUBLIC OPINION', 'United States Economy', 'Wages and Salaries', 'ELECTION ISSUES', 'Prices (Fares, Fees and Rates)', 'Unemployment', 'Presidential Election of 2004']"
Giants Trim Roster; Babers Fails to Report,2003-09-01,article,News,,['Football']
Corrections,2003-09-01,article,Correction,,"['Correction Stories', 'English Language', 'Computers and the Internet']"
"For the Expos, It's All a Wild Card",2003-09-01,article,News,,"['Baseball', 'Playoff Games']"
One-Man Souvenir Stand: A Joyful Aynaoui Erupts,2003-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']"
The Week's Economic Events,2003-09-01,article,News,,[]
No Child Left Behind?,2003-09-01,article,Letter,,['Education and Schools']
"Hamptons' Visitors Went Shopping, but Jersey Shore's Went Home",2003-09-01,article,News,,"['Water Pollution', 'Weather', 'Taxation', 'Blackouts and Brownouts (Electrical)', 'HOTELS AND MOTELS', 'Travel and Vacations']"
Asian Golfers At Home in L.P.G.A.,2003-09-01,article,News,,['Golf']
Killed in Iraq,2003-09-01,article,List,,"['United States International Relations', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']"
Suspect Arrested in Crash That Injured an In-Line Skater,2003-09-01,article,News,,"['Hit-and-Run Drivers', 'Roller Skating', 'Taxicabs and Taxicab Drivers', 'Roads and Traffic', 'Vans']"
"Paid Notice: Deaths   MILLER, DR. BENJAMIN",2003-09-01,article,Paid Death Notice,,[]
"Paid Notice: Deaths   EISNER, JACK P.",2003-09-01,article,Paid Death Notice,,[]
"As Digital Vandals Disrupt the Internet, A Call for Oversight",2003-09-01,article,News,,"['COMPUTER SOFTWARE', 'Computer Security', 'Computers and the Internet']"
Jeter Out; Sojo Signs As Backup,2003-09-01,article,News,,"['Baseball', 'Trades (Sports)']"
Most Wanted: DRILLING DOWN/TV COMMERCIALS; The Ads of Summer,2003-09-01,article,News,,"['ADVERTISING AND MARKETING', 'Television']"
"John Lansdale Jr., 91, Colonel Who Sought Nazi Atomic Project, Dies",2003-09-01,article,Obituary,,"['Deaths (Obituaries)', 'ARMAMENT, DEFENSE AND MILITARY FORCES']"
"Paid Notice: Memorials   SOSLER, CAROLYN ATLAS",2003-09-01,article,Paid Death Notice,,[]
Corrections,2003-09-01,article,Correction,,"['Accidents and Safety', 'Space', 'Explosions', 'Correction Stories']"
Fans and Clemens Share a Touching Goodbye,2003-09-01,article,News,,"['Baseball', 'Records and Achievements', 'Playoff Games', 'Stadiums and Arenas', 'Fenway Park (Boston)']"
Home Alone,2003-09-01,article,Op-Ed,,"['United States International Relations', 'United States Politics and Government', 'Taxation', 'Finances', 'Budgets and Budgeting', 'Terrorism', 'UNITED STATES ARMAMENT AND DEFENSE']"
Ward and Hurricane Win Hampton,2003-09-01,article,News,,"['HAMPTON CLASSIC (HORSE SHOW)', 'Horsemanship and Equestrian Events']"
