headline,date,doc_type,material_type,section,keywords
Street Art Way Below the Street,2010-11-01,article,News,,"['Graffiti', 'Art', 'Subways']"
"In a First, Brazil Elects a Woman as President",2010-11-01,article,News,,['Elections']
"A New Search Engine, Where Less Is More",2010-11-01,article,News,,"['Search Engines', 'Computers and the Internet']"
Candidates Advance Final Arguments,2010-11-01,article,News,,"['Elections', 'United States Politics and Government']"
A New Focus on Cargo Security,2010-11-01,article,,,[]
"World Series Game 4: Giants 4, Rangers 0",2010-11-01,article,,,[]
Young Voters Say They Feel Abandoned,2010-11-01,article,News,,"['Children and Youth', 'Presidential Election of 2008', 'Voting and Voters', 'Elections']"
Suspect in Printer Bombs Gains Notoriety,2010-11-01,article,,,[]
"On an Indian Reservation, a Garden of Buddhas",2010-11-01,article,News,,"['Land Use Policies', 'Native Americans', 'Buddhism']"
Rally to Shift the Blame,2010-11-01,article,News,,"['Demonstrations, Protests, and Riots', 'United States Politics and Government', 'Cable Television']"
"In Season of Surprises, Title Race Is Muddled",2010-11-01,article,,,[]
Russian Activists See Change in a Humble Protest,2010-11-01,article,News,,"['Politics and Government', 'Demonstrations, Protests, and Riots', 'Freedom of Assembly']"
Senate Race Won’t Leave Wrestling Ring,2010-11-01,article,News,,"['Elections', 'Wrestling']"
A Difficult Final Weekend on the Trail,2010-11-01,article,News,,"['United States Politics and Government', 'Speeches and Statements', 'Elections', 'Voting and Voters']"
Patriots Knock Out Favre and Grab Control of Division,2010-11-01,article,News,,['Football']
Potash’s Fight Against Takeover Resembles Cadbury’s,2010-11-01,article,News,,['Banking and Financial Institutions']
John Salazar Ad,2010-11-01,multimedia,Video,,[]
"Paul Kolton, Leader of Major Exchange, Dies at 87",2010-11-01,article,Obituary (Obit),,['Deaths (Obituaries)']
"Guard Led 3 Americans Across Iran Border, Released Hiker Says",2010-11-01,article,News,,['Hiking']
2 Reviews Cost Jets in Game of Position,2010-11-01,article,News,,['Football']
ImClone Ex-Chief Embarks on New Biotech Venture,2010-11-01,article,News,,[]
Man Is Charged in Killing of Clerk at Queens Deli,2010-11-01,article,News,,"['Convenience Stores', 'Murders and Attempted Murders']"
"Giants Pitchers Take Pride in Their Serious, and Comic, Relief",2010-11-01,article,News,,"['World Series', 'Baseball']"
The Election on TV and Online,2010-11-01,article,,,['Cable Television']
Term Limits Are Popular but Draw Less Fervor,2010-11-01,article,News,,['Term Limits (Political Office)']
"After Delays, a Vote for a President in Ivory Coast",2010-11-01,article,News,,['Elections']
Rangers’ Lee Expects to Be Razor Sharp in Game 5,2010-11-01,article,News,,"['World Series', 'Baseball']"
Weekend Warriors of the Down-Ballot Races,2010-11-01,article,News,,"['Attorneys General', 'Elections']"
