headline,date,doc_type,material_type,section,keywords
Generation Limbo: Waiting It Out,2011-09-01,article,News,,"['Labor and Jobs', 'Careers and Professions', 'Part-Time Employment', 'Youth']"
F.T.C. Criticizes Agreements That Delay Generic Drugs,2011-09-01,article,News,,"['Generic Brands and Products', 'Drugs (Pharmaceuticals)']"
Judge Declines to Dismiss Case Alleging Racial Profiling by City Police in Street Stops,2011-09-01,article,News,,"['Racial Profiling', 'Decisions and Verdicts']"
Mr. Downtown Moves On,2011-09-01,article,News,,"['Restaurants', 'Interior Design and Furnishings']"
Pelfrey Struggles for Answers Against Marlins,2011-09-01,article,News,,"['Baseball', 'September 11 (2001)']"
"In Germany, Sex Workers Feed a Meter",2011-09-01,article,News,,"['Politics and Government', 'Women and Girls', 'Prostitution', 'Prices (Fares, Fees and Rates)']"
F.D.A. Affirms Safety of Breast Implants,2011-09-01,article,News,,"['Breasts', 'Silicone', 'Implants', 'Plastic Surgery']"
Should Colleges Stop Fraternity Hazing?,2011-09-01,article,Letter,,"['Hazing', 'Fraternities and Sororities', 'Colleges and Universities']"
"Seeking Space, Well-to-Do Londoners Dig Deep",2011-09-01,article,News,,"['Home Repairs and Improvements', 'Restoration and Renovation', 'Swimming Pools', 'Basements and Cellars', 'Housing and Real Estate']"
The Victims of Irene,2011-09-01,article,Letter,,"['Hurricane Irene (2011)', 'Deaths (Fatalities)', 'Floods']"
Tech Talk Podcast: Headphones and Managing Music,2011-09-01,article,News,,"['Headphones and Headsets', 'Linux (Operating System)', 'Music', 'Software']"
Legislature in California Set to Pass a Dream Act,2011-09-01,article,News,,"['Scholarships and Fellowships', 'Colleges and Universities', 'Illegal Immigrants', 'Development, Relief, and Education for Alien Minors Act']"
An Ailing Venus Williams Exits,2011-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']"
Identifying Suspects,2011-09-01,article,Letter,,"['Crime and Criminals', 'Police', 'Courts and the Judiciary', 'False Arrests, Convictions and Imprisonments']"
